date,unemployment_rate,year,month,lag_1,lag_3,lag_6,lag_12,rolling_3,rolling_6,rolling_12
2016-01-01,4.8,2016,1,5.0,5.0,5.2,5.7,4.966666666666666,5.0,5.2
2016-02-01,4.9,2016,2,4.8,5.1,5.1,5.5,4.9,4.966666666666667,5.1499999999999995
2016-03-01,5.0,2016,3,4.9,5.0,5.0,5.4,4.8999999999999995,4.966666666666667,5.116666666666666
2016-04-01,5.1,2016,4,5.0,4.8,5.0,5.4,5.0,4.983333333333333,5.091666666666667
2016-05-01,4.8,2016,5,5.1,4.9,5.1,5.6,4.966666666666666,4.933333333333333,5.0249999999999995
2016-06-01,4.9,2016,6,4.8,5.0,5.0,5.3,4.933333333333334,4.916666666666667,4.991666666666666
2016-07-01,4.8,2016,7,4.9,5.1,4.8,5.2,4.833333333333333,4.916666666666667,4.958333333333333
2016-08-01,4.9,2016,8,4.8,4.8,4.9,5.1,4.866666666666666,4.916666666666667,4.941666666666666
2016-09-01,5.0,2016,9,4.9,4.9,5.0,5.0,4.8999999999999995,4.916666666666667,4.941666666666666
2016-10-01,4.9,2016,10,5.0,4.8,5.1,5.0,4.933333333333334,4.883333333333333,4.933333333333333
2016-11-01,4.7,2016,11,4.9,4.9,4.8,5.1,4.866666666666667,4.866666666666667,4.9
2016-12-01,4.7,2016,12,4.7,5.0,4.9,5.0,4.766666666666667,4.833333333333333,4.875
2017-01-01,4.7,2017,1,4.7,4.9,4.8,4.8,4.7,4.816666666666667,4.866666666666666
2017-02-01,4.6,2017,2,4.7,4.7,4.9,4.9,4.666666666666667,4.766666666666667,4.841666666666667
2017-03-01,4.4,2017,3,4.6,4.7,5.0,5.0,4.566666666666666,4.666666666666667,4.791666666666667
2017-04-01,4.4,2017,4,4.4,4.7,4.9,5.1,4.466666666666668,4.583333333333334,4.733333333333333
2017-05-01,4.4,2017,5,4.4,4.6,4.7,4.8,4.4,4.533333333333333,4.7
2017-06-01,4.3,2017,6,4.4,4.4,4.7,4.9,4.366666666666667,4.466666666666667,4.65
2017-07-01,4.3,2017,7,4.3,4.4,4.7,4.8,4.333333333333333,4.4,4.608333333333333
2017-08-01,4.4,2017,8,4.3,4.4,4.6,4.9,4.333333333333333,4.366666666666666,4.566666666666667
2017-09-01,4.3,2017,9,4.4,4.3,4.4,5.0,4.333333333333333,4.3500000000000005,4.508333333333334
2017-10-01,4.2,2017,10,4.3,4.3,4.4,4.9,4.3,4.316666666666666,4.45
2017-11-01,4.2,2017,11,4.2,4.4,4.4,4.7,4.233333333333333,4.283333333333334,4.408333333333333
2017-12-01,4.1,2017,12,4.2,4.3,4.3,4.7,4.166666666666667,4.25,4.358333333333333
2018-01-01,4.0,2018,1,4.1,4.2,4.3,4.7,4.1000000000000005,4.2,4.3
2018-02-01,4.1,2018,2,4.0,4.2,4.4,4.6,4.066666666666666,4.1499999999999995,4.258333333333334
2018-03-01,4.0,2018,3,4.1,4.1,4.3,4.4,4.033333333333333,4.1000000000000005,4.2250000000000005
2018-04-01,4.0,2018,4,4.0,4.0,4.2,4.4,4.033333333333333,4.066666666666666,4.191666666666667
2018-05-01,3.8,2018,5,4.0,4.1,4.2,4.4,3.9333333333333336,3.9999999999999996,4.141666666666667
2018-06-01,4.0,2018,6,3.8,4.0,4.1,4.3,3.9333333333333336,3.983333333333333,4.116666666666666
2018-07-01,3.8,2018,7,4.0,4.0,4.0,4.3,3.8666666666666667,3.9499999999999997,4.075
2018-08-01,3.8,2018,8,3.8,3.8,4.1,4.4,3.8666666666666667,3.9000000000000004,4.0249999999999995
2018-09-01,3.7,2018,9,3.8,4.0,4.0,4.3,3.766666666666667,3.8499999999999996,3.975
2018-10-01,3.8,2018,10,3.7,3.8,4.0,4.2,3.766666666666667,3.816666666666667,3.9416666666666664
2018-11-01,3.8,2018,11,3.8,3.8,3.8,4.2,3.766666666666667,3.8166666666666664,3.908333333333333
2018-12-01,3.9,2018,12,3.8,3.7,4.0,4.1,3.8333333333333335,3.8000000000000003,3.891666666666666
